"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"BANDHANBNK","EQ","10-Oct-2024","188.85","190.30","190.40","187.07","187.90","187.70","188.68","53,77,952","1,01,47,01,721.11","41,516","25,80,329","47.98"
"BANDHANBNK","EQ","11-Oct-2024","187.70","202.00","211.80","198.45","209.44","210.26","205.70","12,98,24,389","26,70,49,89,117.09","3,83,178","3,29,28,310","25.36"
"BANDHANBNK","EQ","14-Oct-2024","210.26","210.64","210.65","198.71","200.20","200.06","202.75","3,69,77,274","7,49,71,17,505.61","1,75,013","1,17,79,255","31.86"
"BANDHANBNK","EQ","15-Oct-2024","200.06","200.79","201.45","193.81","194.39","194.35","195.81","2,16,62,894","4,24,17,32,241.56","1,39,870","97,34,819","44.94"
"BANDHANBNK","EQ","16-Oct-2024","194.35","194.01","194.68","191.86","193.00","192.74","193.43","1,26,36,822","2,44,43,04,129.88","75,702","60,93,980","48.22"
"BANDHANBNK","EQ","17-Oct-2024","192.74","193.05","193.45","188.37","190.46","190.19","190.18","1,36,47,152","2,59,54,44,139.86","72,027","74,65,250","54.70"
"BANDHANBNK","EQ","18-Oct-2024","190.19","190.00","192.68","188.19","191.96","191.96","191.06","98,95,258","1,89,06,13,114.90","56,270","46,86,315","47.36"
"BANDHANBNK","EQ","21-Oct-2024","191.96","191.95","191.95","184.00","184.38","184.89","187.83","1,44,28,385","2,71,00,57,652.14","99,815","74,05,042","51.32"
"BANDHANBNK","EQ","22-Oct-2024","184.89","182.51","184.90","173.00","174.80","173.80","178.05","2,05,27,388","3,65,48,80,618.75","1,35,680","1,05,13,251","51.22"
"BANDHANBNK","EQ","23-Oct-2024","173.80","174.70","183.67","172.80","182.50","182.29","178.49","1,67,28,599","2,98,59,43,618.04","1,54,573","72,75,352","43.49"
"BANDHANBNK","EQ","24-Oct-2024","182.29","182.05","182.95","180.15","180.35","180.66","181.35","59,37,155","1,07,67,14,536.14","39,828","24,85,136","41.86"
"BANDHANBNK","EQ","25-Oct-2024","180.66","180.00","180.48","167.30","169.20","168.21","170.85","2,11,12,594","3,60,71,17,555.19","1,67,665","94,97,508","44.99"
"BANDHANBNK","EQ","28-Oct-2024","168.21","175.00","189.68","172.50","184.35","184.81","182.57","4,33,60,345","7,91,61,84,823.53","1,92,891","1,11,75,750","25.77"
